Department,Topic,Sub_Topic,question_name,question_url,question_answer,document
Future Students,Scholarships and Awards,Scholarships and Awards,What is the deadline for the referees to submit their letters of recommendation?,https://www.torontomu.ca/current-students/scholarships-awards/faq/#accordion-content-1695407017316-what-is-the-deadline-for-the-referees-to-submit-their-letters-of-recommendation-,"We recommend that you contact your referees with a minimum of three to four weeks' notice before the award application deadline.

Each award application has a different deadline date. Visit AwardSpring to check the specific deadlines for the awards you have applied to.

It is best for your referees to submit their letters before the deadline dates in case they have any technical issues. Submitting letters early also gives you time to submit your award application.","What is the deadline for the referees to submit their letters of recommendation?
We recommend that you contact your referees with a minimum of three to four weeks' notice before the award application deadline.

Each award application has a different deadline date. Visit AwardSpring to check the specific deadlines for the awards you have applied to.

It is best for your referees to submit their letters before the deadline dates in case they have any technical issues. Submitting letters early also gives you time to submit your award application."
Ted Rogers School of Management,Business Career Hub,Professional Masters Diploma ,Can students receive scholarships or other sources of funding?,https://www.torontomu.ca/tedrogersschool/pmdiploma/faq/#accordion-content-1605115477870-can-students-receive-scholarships-or-other-sources-of-funding-,"We recognize that pursuing a Professional Masters Diploma is a significant financial investment and want to help ensure you are able to focus on your studies.

Please visit the Funding page to find out the available options.  ","Can students receive scholarships or other sources of funding?
We recognize that pursuing a Professional Masters Diploma is a significant financial investment and want to help ensure you are able to focus on your studies.

Please visit the Funding page to find out the available options.  "
School of Urban and Regional Planning,Urban Development,Admissions,How many students do you accept each year for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587750-how-many-students-do-you-accept-each-year-,"We enrol approximately 35 students each year, which means that we have about 70 students enrolled in the program at any time.","How many students do you accept each year for  urban planning program?
We enrol approximately 35 students each year, which means that we have about 70 students enrolled in the program at any time."
Student Financial Assistance,Scholarships and Awards,OSAP,I added or dropped a course after my OSAP was confirmed. Do I need to report this to the university?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1645112995156-i-added-or-dropped-a-course-after-my-osap-was-confirmed--do-i-need-to-report-this-to-the-university-,"We encourage students to finalize their course load promptly before the start of term to avoid delays in their OSAP funding disbursements.

You do not need to notify the university if your course load changed as a result of you adding or dropping courses unless a staff member has advised you to do so. 

The SFA office audits students course loads regularly throughout each semester to identify course load changes and adjusts OSAP applications accordingly.  If your adjusted course load results in any additional funding, it will automatically be released to the student. For information on the impacts of dropping a course, visit What impact does dropping courses have on my OSAP assessment?","I added or dropped a course after my OSAP was confirmed. Do I need to report this to the university?
We encourage students to finalize their course load promptly before the start of term to avoid delays in their OSAP funding disbursements.

You do not need to notify the university if your course load changed as a result of you adding or dropping courses unless a staff member has advised you to do so. 

The SFA office audits students course loads regularly throughout each semester to identify course load changes and adjusts OSAP applications accordingly.  If your adjusted course load results in any additional funding, it will automatically be released to the student. For information on the impacts of dropping a course, visit What impact does dropping courses have on my OSAP assessment?"
School of Urban and Regional Planning,Urban Development,Program Information,Is the  urban planning program right for me?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588418-is-the-program-right--for-me-,"We encourage all applicants to become thoroughly familiar with the Toronto Met Urban Development (MPl) program before applying. To help you learn more about our program, we recommend that you: Attend our admissions open house. If you are unable to attend in person, then you can watch the webcast online.
Register for one of our monthly Virtual Information Sessions.
Review our curriculum - Two Year Stream and One Year Stream.
Learn more about our faculty.","Is the  urban planning program right for me?
We encourage all applicants to become thoroughly familiar with the Toronto Met Urban Development (MPl) program before applying. To help you learn more about our program, we recommend that you: Attend our admissions open house. If you are unable to attend in person, then you can watch the webcast online.
Register for one of our monthly Virtual Information Sessions.
Review our curriculum - Two Year Stream and One Year Stream.
Learn more about our faculty."
Philosophy,Philosophy,Philosophy,Why should I choose a 2-year MA for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1614029448980-why-should-i-choose-a-2-year-ma-,"We believe that you can't rush good philosophy. It takes time to master the intricacies of a philosophical debate. Our 5-term program is designed to provide you with a broad education across all areas and traditions in philosophy, while also giving you an opportunity to explore a topic in real depth. We believe that you'll do better, will learn more, and will find the experience more fulfilling if you take your time.","Why should I choose a 2-year MA for philosophy?
We believe that you can't rush good philosophy. It takes time to master the intricacies of a philosophical debate. Our 5-term program is designed to provide you with a broad education across all areas and traditions in philosophy, while also giving you an opportunity to explore a topic in real depth. We believe that you'll do better, will learn more, and will find the experience more fulfilling if you take your time."
Ted Rogers School of Management,Master of Science in Management,General Inquiries,Can I get Transfer Credits?,https://www.torontomu.ca/tedrogersschool/master-science-management/admissions/faqs/#accordion-content-1571336174412-can-i-get-transfer-credits-,"We are unable to evaluate transcripts for transfer credits before the student has been admitted to the program. Please keep in mind that the MScM program is thesis based, not course based. You are required to pay a fixed tuition amount every term you are in the program and that tuition does not depend on how many courses you are enrolled in. As such, transferring one course is not going to have an impact on tuition. There is a chance that some of the elective courses required by our program could be replaced by a transferred course, but this would need an approval from your supervisor and the program director. To do this, the students must fill out the ""Transfer Credit Application Form"" from Yeates School of Graduate and Postdoctoral Studies, and submit all relevant documents (course outline, assignments, projects etc.). This process can only take place once you are already a Toronto Met student.","Can I get Transfer Credits?
We are unable to evaluate transcripts for transfer credits before the student has been admitted to the program. Please keep in mind that the MScM program is thesis based, not course based. You are required to pay a fixed tuition amount every term you are in the program and that tuition does not depend on how many courses you are enrolled in. As such, transferring one course is not going to have an impact on tuition. There is a chance that some of the elective courses required by our program could be replaced by a transferred course, but this would need an approval from your supervisor and the program director. To do this, the students must fill out the ""Transfer Credit Application Form"" from Yeates School of Graduate and Postdoctoral Studies, and submit all relevant documents (course outline, assignments, projects etc.). This process can only take place once you are already a Toronto Met student."
School of Urban and Regional Planning,Urban Development,Admissions,I wasn't accepted. Can I meet with someone to discuss my application for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587803-i-wasn-t-accepted--can-i-meet-with-someone-to-discuss-my-application-,"We are lucky to have a large number of qualified applicants each year. While we understand that it is disappointing to not be accepted, we have a firm policy that no one from our program will meet to discuss unsuccessful applications.","I wasn't accepted. Can I meet with someone to discuss my application for  urban planning program?
We are lucky to have a large number of qualified applicants each year. While we understand that it is disappointing to not be accepted, we have a firm policy that no one from our program will meet to discuss unsuccessful applications."
School of Medicine,School of Medicine,Hiring,When can I apply to TMU's School of Medicine?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1678895801709-when-can-i-apply-to-tmu-s-school-of-medicine-,"We are looking forward to welcoming our first cohort of students in 2025. Application dates will be shared with community members once they are confirmed. Sign-up for our mailing list
(external link)
to stay up to date.","When can I apply to TMU's School of Medicine?
We are looking forward to welcoming our first cohort of students in 2025. Application dates will be shared with community members once they are confirmed. Sign-up for our mailing list
(external link)
to stay up to date."
Social Ventures Zone,Social Ventures Zone,Social Ventures Zone,Where is the Social Ventures Zone located?,https://www.torontomu.ca/svz/about/faq/,"We are located at 40 Gould Street, Kerr Hall South 45 (KHS 045). You can find the entrance under the arches across from Balzacs on Gould Street.","Where is the Social Ventures Zone located?
We are located at 40 Gould Street, Kerr Hall South 45 (KHS 045). You can find the entrance under the arches across from Balzacs on Gould Street."
School of Medicine,School of Medicine,Hiring,I am a current TMU faculty member and am interested in working at the School of Medicine or interested in a cross appointment. How do I apply?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1679601107520-i-am-a-current-tmu-faculty-member-and-am-interested-in-working-at-the-school-of-medicine-or-interested-in-a-cross-appointment--how-do-i-apply-,"We are currently seeking TMU faculty members to join two key undergraduate medical education (UGME) governance committees to support the School of Medicine's work towards national accreditation under the Committee on Accreditation of Canadian Medical Schools (CACMS). For more information about these committees and to express interest, visit the Get Involved section of our website.","I am a current TMU faculty member and am interested in working at the School of Medicine or interested in a cross appointment. How do I apply?
We are currently seeking TMU faculty members to join two key undergraduate medical education (UGME) governance committees to support the School of Medicine's work towards national accreditation under the Committee on Accreditation of Canadian Medical Schools (CACMS). For more information about these committees and to express interest, visit the Get Involved section of our website."
Philosophy,Philosophy,Philosophy,What activities do you offer beyond the classroom for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1614028430873-what-activities-do-you-offer-beyond-the-classroom-,"We are committed to providing a rich philosophical life outside the classroom.
Our annual speaker series brings 3 or 4 guest speakers to our department every semester. Graduate students are invited to the talks and we usually pay for one or two to come for dinner with the speaker.

We also have hosted and organized many philosophy conferences and workshops, on a host of topics. And every spring we hold a Research Day when our faculty members and graduate students can share their research projects. 

For a sample of recent activities, check out our News and Events page.","What activities do you offer beyond the classroom for philosophy?
We are committed to providing a rich philosophical life outside the classroom.
Our annual speaker series brings 3 or 4 guest speakers to our department every semester. Graduate students are invited to the talks and we usually pay for one or two to come for dinner with the speaker.

We also have hosted and organized many philosophy conferences and workshops, on a host of topics. And every spring we hold a Research Day when our faculty members and graduate students can share their research projects. 

For a sample of recent activities, check out our News and Events page."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,How can I apply for the Child and Youth Care program?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154213888-how-can-i-apply-for-the-child-and-youth-care-program-,"We admit new students each fall, and you can learn more about the application process on the webpage for Child and Youth Care Admissions, which features information on:

Admission requirements
Application deadlines
Submission process
Required documents
Application tracking
If you have any questions about the application process, contact Undergraduate Admissions.","How can I apply for the Child and Youth Care program?
We admit new students each fall, and you can learn more about the application process on the webpage for Child and Youth Care Admissions, which features information on:

Admission requirements
Application deadlines
Submission process
Required documents
Application tracking
If you have any questions about the application process, contact Undergraduate Admissions."
Faculty of Engineering & Architectural Science,Engineering,Engineering,How do I apply to an engineering program at Toronto Metropolitan University?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,VisitApplying to Toronto Metropolitan Universityfor steps on how to apply.,"How do I apply to an engineering program at Toronto Metropolitan University?
VisitApplying to Toronto Metropolitan Universityfor steps on how to apply."
Creative Industries,Current Students,Fees and OSAP,How does OSAP work?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703033103022-how-does-osap-work-,"Visit TMUs Ontario Student Assistance Program (OSAP) page for more information.

If you have additional questions, you can contact the ServiceHub who has OSAP Advisors available by phone Tuesday through Thursday.

? NOTE: If you are receiving OSAP, you will likely receive your OSAP Confirmation of Enrolment faster by successfully participating in course intentions, ensuring you have access to your funds sooner.","How does OSAP work?
Visit TMUs Ontario Student Assistance Program (OSAP) page for more information.

If you have additional questions, you can contact the ServiceHub who has OSAP Advisors available by phone Tuesday through Thursday.

? NOTE: If you are receiving OSAP, you will likely receive your OSAP Confirmation of Enrolment faster by successfully participating in course intentions, ensuring you have access to your funds sooner."
Faculty of Engineering & Architectural Science,Architectural Science,Architectural Science,How do I apply to the Architectural Science program at Toronto Metropolitan University (TMU)?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804190821-architectural-science,"Visit the undergraduate admissionsHow to Applypage for application instructions. Please note this is a grades-plus program, which means there are also non-academic requirements, including a portfolio. You can find answers to commonly asked questions about your portfolio by reading questions 11 to 18 below. Additional information aboutnon-academic requirementscan be found on the architectural science undergraduate admissions page.","How do I apply to the Architectural Science program at Toronto Metropolitan University (TMU)?
Visit the undergraduate admissionsHow to Applypage for application instructions. Please note this is a grades-plus program, which means there are also non-academic requirements, including a portfolio. You can find answers to commonly asked questions about your portfolio by reading questions 11 to 18 below. Additional information aboutnon-academic requirementscan be found on the architectural science undergraduate admissions page."
Future Students,Undergraduate,Admissions,I am having difficulty activating my TMU Online Identity. Can you help?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906146557-i-am-having-difficulty-activating-my-tmu-online-identity--can-you-help-,"Visit the Online Identity activation form and view the Activation FAQs. If you are still having trouble, complete the activation problem form.","I am having difficulty activating my TMU Online Identity. Can you help?
Visit the Online Identity activation form and view the Activation FAQs. If you are still having trouble, complete the activation problem form."
Future Students,Undergraduate,Admissions,I've activated my TMU Online Identity but I've forgotten my username and/or password. What should I do?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906225958-i-ve-activated-my-tmu-online-identity-but-i-ve-forgotten-my-username-and-or-password--what-should-i-do-,Visit the login help page for issues related to your username and/or password.,"I've activated my TMU Online Identity but I've forgotten my username and/or password. What should I do?
Visit the login help page for issues related to your username and/or password."
Ted Rogers School of Management,MBA,Grades and Transcripts,"I have been given an Offer of Admission, how do I submit official transcripts  for Ted Rogers MBA program?",https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066493462-i-have-been-given-an-offer-of-admission--how-do-i-submit-official-transcripts-,Visit the Graduate Admissions office page for more information on submitting official transcripts.,"I have been given an Offer of Admission, how do I submit official transcripts  for Ted Rogers MBA program?
Visit the Graduate Admissions office page for more information on submitting official transcripts."
Creative Industries,Current Students,Graduation and Convocation,When is my convocation for creative industries programs?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703033103022-when-is-my-convocation-,"Visit the Convocation website for information related to convocation, including ceremony dates and times.","When is my convocation for creative industries programs?
Visit the Convocation website for information related to convocation, including ceremony dates and times."
Future Students,Accomodations,Academic Accomodation Support,How do accommodated tests and exams work?,https://www.torontomu.ca/accommodations/faq/#accordion-content-1702070645750-how-do-accommodated-tests-and-exams-work-,Visit the Accommodated Test Centre (ATC) page for questions about booking and writing your accommodated tests and exams,"How do accommodated tests and exams work?
Visit the Accommodated Test Centre (ATC) page for questions about booking and writing your accommodated tests and exams"
Future Students,Accomodations,Academic Accomodation Support,"I have financial support questions, where do I go?",https://www.torontomu.ca/accommodations/faq/#accordion-content-1702068900455-i-have-financial-support-questions--where-do-i-go-,"Visit the AAS Financial Support page to learn about OSAP, grants, bursaries, and more.","I have financial support questions, where do I go?
Visit the AAS Financial Support page to learn about OSAP, grants, bursaries, and more."
Computing and Communications Services,Google Workspace,Google Mail ,I currently have my RMail forwarded to a POP email account. How do I set up my new TMU Gmail account to forward email to my POP account?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495554870932-i-currently-have-my-rmail-forwarded-to-a-pop-email-account--how-do-i-set-up-my-new-tmu-gmail-account-to-forward-email-to-my-pop-account-,Visit our email client set up page for instructions https://www.torontomu.ca/google/usingapps/viaemailclient.html,"I currently have my RMail forwarded to a POP email account. How do I set up my new TMU Gmail account to forward email to my POP account?
Visit our email client set up page for instructions https://www.torontomu.ca/google/usingapps/viaemailclient.html"
Computing and Communications Services,Google Workspace,Google Mail ,I already forward my TMU mail to an existing personal Gmail account. Can I forward my new TMU Gmail to this current Gmail account?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030719577-i-already-forward-my-tmu-mail-to-an-existing-personal-gmail-account--can-i-forward-my-new-tmu-gmail-to-this-current-gmail-account-,Visit our email client set up page for instructions https://www.torontomu.ca/google/usingapps/viaemailclient.html,"I already forward my TMU mail to an existing personal Gmail account. Can I forward my new TMU Gmail to this current Gmail account?
Visit our email client set up page for instructions https://www.torontomu.ca/google/usingapps/viaemailclient.html"
School of Urban and Regional Planning,Urban Development,Admissions,How do you calculate my GPA for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587644-how-do-you-calculate-my-gpa-,Visit Calculating Your GPA for more information.,"How do you calculate my GPA for  urban planning program?
Visit Calculating Your GPA for more information."
School of Urban and Regional Planning,Urban Development,Admissions,How do I apply for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587426-how-do-i-apply-,"Visit Admissions for Urban Development (MPl) to learn more about:

Admissions requirements
Application deadlines
Application process
Required documents Email gradapplicants@torontomu.ca with your admissions questions.","How do I apply for  urban planning program?
Visit Admissions for Urban Development (MPl) to learn more about:

Admissions requirements
Application deadlines
Application process
Required documents Email gradapplicants@torontomu.ca with your admissions questions."
Computing and Communications Services,Google Workspace,Google Meet,What are the benefits of video calls?,https://www.torontomu.ca/google/getting-started/google-meet/#!accordion-1499284953253-what-are-the-benefits-of-video-calls-,"Video calls on Google Meet can be useful for holding online meetings when in-person meetings aren't possible. In Google Meet, you can also dial in or dial out using a phone to join meetings (you will only have voice capabilities in the dial in/out option). Video calls are similar to other tools available at TMU such as Zoom, with comparable features. If you have a camera and microphone for your computer or device, you can start a video call with up to 500 participants and share your screen.","What are the benefits of video calls?
Video calls on Google Meet can be useful for holding online meetings when in-person meetings aren't possible. In Google Meet, you can also dial in or dial out using a phone to join meetings (you will only have voice capabilities in the dial in/out option). Video calls are similar to other tools available at TMU such as Zoom, with comparable features. If you have a camera and microphone for your computer or device, you can start a video call with up to 500 participants and share your screen."
Social Ventures Zone,Social Ventures Zone,Social Ventures Zone,How much time do I need to commit to participate in the Social Ventures Zone?,https://www.torontomu.ca/svz/about/faq/,"Venture team members are expected to contribute a minimum of 10-12 hours per month to their social enterprise.  This includes your participation in workshops and modules, time dedicated to your venture, and ongoing peer-to-peer collaboration.

On that note, we believe in helping, not holding back. While focus is a good thing, we know that innovators sometimes need encouragement.  They need to know others believe in them and can pitch in to help, when needed.  That is why we want the Social Ventures Zone to be a space where we actively look for opportunities to help our fellow innovators when we see them facing a challenge.  Because what we give, we get back.","How much time do I need to commit to participate in the Social Ventures Zone?
Venture team members are expected to contribute a minimum of 10-12 hours per month to their social enterprise.  This includes your participation in workshops and modules, time dedicated to your venture, and ongoing peer-to-peer collaboration.

On that note, we believe in helping, not holding back. While focus is a good thing, we know that innovators sometimes need encouragement.  They need to know others believe in them and can pitch in to help, when needed.  That is why we want the Social Ventures Zone to be a space where we actively look for opportunities to help our fellow innovators when we see them facing a challenge.  Because what we give, we get back."
Computing and Communications Services,Computing and Communications Service,lab,How do I log on?,https://www.torontomu.ca/ccs/services/labsandprinting/labs/faq/#accordion-content-1500996918672-how-do-i-log-on-,Use your my.torontomu username in the Username field and your password in the Password field. Domain field should be already populated with 'AC' and does not need to be changed.,"How do I log on?
Use your my.torontomu username in the Username field and your password in the Password field. Domain field should be already populated with 'AC' and does not need to be changed."
Admissions,Academic,Transfer Credits,"On the Self-Serve application, I am not able to find a course I completed at my previous institution.",https://www.torontomu.ca/transfer-credits/definitions-faqs/#accordion-content-1623263763300-on-the-self-serve-application--i-am-not-able-to-find-a-course-i-completed-at-my-previous-institution-,"Use the magnifying glass to select from a list of existing courses. Please note that courses that are not in our database will be displayed in red.

Please email tcredits@torontomu.ca with the following information: 

Name of the institution 
Course code and course title as it appears on your transcript
Year the course was taken
Grade received
Your TMU Student Number
These courses will promptly be added into our database and you can then resume your application.","On the Self-Serve application, I am not able to find a course I completed at my previous institution.
Use the magnifying glass to select from a list of existing courses. Please note that courses that are not in our database will be displayed in red.

Please email tcredits@torontomu.ca with the following information: 

Name of the institution 
Course code and course title as it appears on your transcript
Year the course was taken
Grade received
Your TMU Student Number
These courses will promptly be added into our database and you can then resume your application."
Daphne Cockwell Scholl of Nursing,Central Placement Office,COVID-19 Placement,What should I do if I receive the COVID-19 vaccine?,https://www.torontomu.ca/nursing/central-placement-office/faqs/placement-during-covid-19/#accordion-content-1620076185389-what-should-i-do-if-i-receive-the-covid-19-vaccine-,"Upload the vaccine receipt on your Verified
(external link, opens in new window)
account.","What should I do if I receive the COVID-19 vaccine?
Upload the vaccine receipt on your Verified
(external link, opens in new window)
account."
Computing and Communications Services,Google Workspace,Google Chat,Can I still use classic Hangouts?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368814508-can-i-still-use-classic-hangouts-,"Until Google retires the app permanently in late 2020, classic Hangouts will remain available through the web by going to hangouts.google.com
(external link)
. Within Gmail, the new Google Chat will appear in place of the classic Hangouts. There is no option to revert back to classic Hangouts in Gmail. Direct messages sent in classic Hangouts or Google Chat can be viewed and replied to in the other service. Group messages in classic Hangouts or Google Chat can't be viewed or replied to in the other service. If you would like to continue group messages in the new Google Chat, you will have to recreate the group chats in spaces or group messages.","Can I still use classic Hangouts?
Until Google retires the app permanently in late 2020, classic Hangouts will remain available through the web by going to hangouts.google.com
(external link)
. Within Gmail, the new Google Chat will appear in place of the classic Hangouts. There is no option to revert back to classic Hangouts in Gmail. Direct messages sent in classic Hangouts or Google Chat can be viewed and replied to in the other service. Group messages in classic Hangouts or Google Chat can't be viewed or replied to in the other service. If you would like to continue group messages in the new Google Chat, you will have to recreate the group chats in spaces or group messages."
Ted Rogers School of Management,MBA,Grades and Transcripts,Do I need official transcripts in order to apply  for Ted Rogers MBA program?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066493011-do-i-need-official-transcripts-in-order-to-apply-,"Unofficial transcripts will be accepted for evaluation purposes. Official transcripts will only be required if an Offer of Admission is issued.

For more information please refer to the Graduate School website.","Do I need official transcripts in order to apply  for Ted Rogers MBA program?
Unofficial transcripts will be accepted for evaluation purposes. Official transcripts will only be required if an Offer of Admission is issued.

For more information please refer to the Graduate School website."
Academic Integrity Office,Artififical Intelligence,Use of AI in Academics,Should students use AI?,https://www.torontomu.ca/academicintegrity/ai/#accordion-content-1677615447935-should-students-use-ai-,"Unless explicitly stated by the instructor, students should assume that using AI to complete assessments is prohibited. If students use AI to complete assessments, instructors may consider it 1) misrepresentation of personal identity or performance and/or 2) plagiarism and/or 3) cheating.

IF your instructor gives you permission to use AI, the expectation is that you cite the output just as you would cite any other source. 

APA, MLA, Chicago Style

While AI is something that should be avoided when creating anything that will be evaluated by your professor, AI can be a great learning companion, assuming you understand that AI output needs to be critically evaluated. Cornell University devised these key questions that you can use to interrogate the integrity of the AI output:

Is the AI-generated content accurate? How can you test or assess the accuracy?
Can other credible sources (outside of generative AI) validate the data or item produced? 
How does the information generated impact or influence your thinking on this topic?
Who is represented in this data? Is the data inclusive in terms of the material's scope and the perspectives that it presents? 
As well, we have some student tips that you may find useful.","Should students use AI?
Unless explicitly stated by the instructor, students should assume that using AI to complete assessments is prohibited. If students use AI to complete assessments, instructors may consider it 1) misrepresentation of personal identity or performance and/or 2) plagiarism and/or 3) cheating.

IF your instructor gives you permission to use AI, the expectation is that you cite the output just as you would cite any other source. 

APA, MLA, Chicago Style

While AI is something that should be avoided when creating anything that will be evaluated by your professor, AI can be a great learning companion, assuming you understand that AI output needs to be critically evaluated. Cornell University devised these key questions that you can use to interrogate the integrity of the AI output:

Is the AI-generated content accurate? How can you test or assess the accuracy?
Can other credible sources (outside of generative AI) validate the data or item produced? 
How does the information generated impact or influence your thinking on this topic?
Who is represented in this data? Is the data inclusive in terms of the material's scope and the perspectives that it presents? 
As well, we have some student tips that you may find useful."
Admissions,Academic,Transfer Credits,I was not able to view my applications once I logged out of the Manual Application website.,https://www.torontomu.ca/transfer-credits/definitions-faqs/#accordion-content-1623263756388-i-was-not-able-to-view-my-applications-once-i-logged-out-of-the-manual-application-website-,"Unfortunately, you will not be able to see a history  of the courses that you applied for after they have been submitted. As long as you received a successful upload message, your applications were received. You will receive an acknowledgment email once we begin processing your applications.

For newly admitted fall students, transfer credit processing will start in May.","I was not able to view my applications once I logged out of the Manual Application website.
Unfortunately, you will not be able to see a history  of the courses that you applied for after they have been submitted. As long as you received a successful upload message, your applications were received. You will receive an acknowledgment email once we begin processing your applications.

For newly admitted fall students, transfer credit processing will start in May."
Faculty of Engineering & Architectural Science,Architectural Science,Architectural Science,Can I apply for winter (January) admission for Architectural Science program at Toronto Metropolitan University (TMU)??,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804190821-architectural-science,"Unfortunately, TMU does not offer winter admission to the architectural science program.","Can I apply for winter (January) admission for Architectural Science program at Toronto Metropolitan University (TMU)??
Unfortunately, TMU does not offer winter admission to the architectural science program."
Ted Rogers School of Management,MBA,International Students-Eligibility and Application Process,Do we accept World Education Services (WES) assessments of degree equivalencies  for Ted Rogers MBA program?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1605117548905-do-we-accept-world-education-services--wes--assessments-of-degree-equivalencies-,"Unfortunately, the Graduate Admissions Office doesn't accept WES assessments. The Graduate Admissions office has a different assessment process.","Do we accept World Education Services (WES) assessments of degree equivalencies  for Ted Rogers MBA program?
Unfortunately, the Graduate Admissions Office doesn't accept WES assessments. The Graduate Admissions office has a different assessment process."
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,"9. If my CGPA is just shy of the minimum 3.67, can an exception be made for my renewal? Are CGPAs rounded?",https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247563529-9--if-my-cgpa-is-just-shy-of-the-minimum-3-67--can-an-exception-be-made-for-my-renewal--are-cgpas-rounded-,"Unfortunately, the CGPA requirement for scholarship renewals is a firm condition. That being said, if you are able to increase your CGPA above the minimum requirement during the next academic year, your account will be reviewed for renewal the next fall.

If you are the recipient of a Presidents Entrance Scholarship, and your CGPA falls within 0.25 points of 3.67, you may be granted a probationary scholarship renewal period where you will conditionally receive half your scholarship in the fall semester, with the expectation that you will increase your CGPA above a 3.67 to receive the rest in winter.

Per Senate Policy 170(a), your GPA is rounded up to the next higher second decimal place. For example, a 3.8477 would round to a 3.85.","9. If my CGPA is just shy of the minimum 3.67, can an exception be made for my renewal? Are CGPAs rounded?
Unfortunately, the CGPA requirement for scholarship renewals is a firm condition. That being said, if you are able to increase your CGPA above the minimum requirement during the next academic year, your account will be reviewed for renewal the next fall.

If you are the recipient of a Presidents Entrance Scholarship, and your CGPA falls within 0.25 points of 3.67, you may be granted a probationary scholarship renewal period where you will conditionally receive half your scholarship in the fall semester, with the expectation that you will increase your CGPA above a 3.67 to receive the rest in winter.

Per Senate Policy 170(a), your GPA is rounded up to the next higher second decimal place. For example, a 3.8477 would round to a 3.85."
Creative Industries,Current Students,Academic Standing and Appeals,How can I submit a Grade or Standing Appeal for creative industries programs?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703032021983-how-can-i-submit-a-grade-or-standing-appeal-,"Undergraduate students wishing to appeal their standing in their program, and/or to appeal a final grade, will need to use the online appeals system to submit their request.","How can I submit a Grade or Standing Appeal for creative industries programs?
Undergraduate students wishing to appeal their standing in their program, and/or to appeal a final grade, will need to use the online appeals system to submit their request."
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,When is my program scheduled to begin its PPR?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555865083-when-is-my-program-scheduled-to-begin-its-ppr-,"Undergraduate and graduate programs are reviewed on an eight year cycle. Part-time programs are reviewed at the same time as full-time programs. The
(PDF file)
undergraduate PPR schedule
(opens in new window)
and graduate PPR schedule
(opens in new window)
list the year in which each program is expected to start its next review.","When is my program scheduled to begin its PPR?
Undergraduate and graduate programs are reviewed on an eight year cycle. Part-time programs are reviewed at the same time as full-time programs. The
(PDF file)
undergraduate PPR schedule
(opens in new window)
and graduate PPR schedule
(opens in new window)
list the year in which each program is expected to start its next review."
Creative Industries,Future Students,Admissions,How many hours of class time can I expect for   Creative Industries program?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266245191-how-many-hours-of-class-time-can-i-expect-,"Typically, there are 15 hours per week of academic class time per term, but this will depend on how many courses you're taking and whether or not they have labratories, tutorials, or seminars.","How many hours of class time can I expect for   Creative Industries program?
Typically, there are 15 hours per week of academic class time per term, but this will depend on how many courses you're taking and whether or not they have labratories, tutorials, or seminars."
