Department,Sub_Department,Topic,question_name,question_url,question_answer_1_name,question_answer_2_name,question_answer_3_name
Computing and Communications Services,Google Workspace,Google Mail ,Can I recall a message I already sent?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497288921967-can-i-recall-a-message-i-already-sent-,"Yes, Gmail Labs has an early version of a new ""message undo"" feature that lets you recall a message within a few seconds after you send it. To activate the feature, open your Gmail Settings, go to the Labs tab, and activate the Undo Send lab.Note that your Google Apps administrator must activate Labs for your domain for this feature to be available.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I stop messages from being grouped into conversations?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497288966743-can-i-stop-messages-from-being-grouped-into-conversations-,"Yes. Click Settings in the upper-right corner of your Gmail window and, on the General tab, scroll down to Conversation View.If Conversation View is off, new messages won't be grouped into conversations, and any existing conversations are ungrouped into separate messages.
If Conversation View is on, you can't separate the messages in a conversation. However, if you want to send a reply but don't want it to be added to the conversation, you can simply change the subject line in your reply.",,
Computing and Communications Services,Google Workspace,Google Mail ,"How do I mark a message as ""unread"" in my Inbox after I open it?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497288970295-how-do-i-mark-a-message-as--unread--in-my-inbox-after-i-open-it-,"Select the message. Then, in the More drop-down list, select Mark as unread.",,
Computing and Communications Services,Google Workspace,Google Mail ,How much space do I have for mail messages? Can I run out of space?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497289176449-how-much-space-do-i-have-for-mail-messages--can-i-run-out-of-space-,"Your account has unlimited storage. You'll probably never run out of space. In fact, a heavy email user who sends and receives lots of file attachments and archives all messages might use up to 5% of this space a year (usually less), so it would take decades to use up all of the available space. Also note that Google Apps restricts the size of file attachments to 20 MB, so you don't have to worry about a few large files using up your storage space.",,
Computing and Communications Services,Google Workspace,Google Mail ,Why do I not see messages sent to mailing lists in my Inbox?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497289219930-why-do-i-not-see-messages-sent-to-mailing-lists-in-my-inbox-,"When you send mail to any mailing list you own or are subscribed to, Gmail automatically skips your inbox and archives the message to save you time and prevent clutter. The message will appear in your inbox if someone responds to it or if there is an error delivering the message. If you would like to view your message, you can find it in Sent Mail or All Mail.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I drag and drop a file to attach it to a message?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555548692-can-i-drag-and-drop-a-file-to-attach-it-to-a-message-,"Yes, if you're using a Chrome browser. Otherwise, you must browse to a file to attach it.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I attach a message or conversation to a new message?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555564692-can-i-attach-a-message-or-conversation-to-a-new-message-,"No, you can't embed one message into another directly. As a workaround, you can do the following:

To attach a single message, open it and click Forward (from the drop-menu at the top of the message). To attach a conversation, open it click Forward all on the right.
Then compose your new message and send it. The earlier message will be included below your new message.Alternatively, you can copy the text from the earlier message and paste it into a new message.",,
Computing and Communications Services,Google Workspace,Google Mail ,How can I copy a file attachment from one message to another?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555555133-how-can-i-copy-a-file-attachment-from-one-message-to-another-,"Because Gmail is a web-based system, you can't drag a file attachment from one message to another. As a workaround, you can do the following:

Open the message or conversation that contains the file attachment.
If the file is attached to a single message, click Forward (from the drop-menu at the top of the message). If it's attached to a message in a conversation, click Forward all on the right.
Delete all the ""forwarded"" content from original messages, which appears at the bottom of your new message. Note that the file attachment remains with the forwarded message.
Then compose your new message and send it.Alternatively, you can download the attachment and then upload it to another message.",,
Computing and Communications Services,Google Workspace,Google Mail ,Is there a size or type limitation for file attachments in Gmail?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555533879-is-there-a-size-or-type-limitation-for-file-attachments-in-gmail-,"Yes. To help prevent viruses, Gmail won't accept file attachments that are executable files. There's also a 20 MB size limitation for attachments. For details, see the Gmail Help Center.
(external link)",,
Computing and Communications Services,Google Workspace,Google Mail ,There are no folders in Gmail. How do I organize my messages?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555601973-there-are-no-folders-in-gmail--how-do-i-organize-my-messages-,"Instead of folders, Gmail has a ""labels"" feature. Labels are similar to folders, but are more powerful and flexible, because you can add multiple labels to a message to categorize it in several ways. For details, see the Gmail Help Center
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,How many labels can I create?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555609608-how-many-labels-can-i-create-,You can create up to about 200 labels.,,
Computing and Communications Services,Google Workspace,Google Mail ,Can I apply more than one label to a single email message?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555615326-can-i-apply-more-than-one-label-to-a-single-email-message-,"Yes, you can apply any number of labels to a message: Select the message in your Inbox, or open it, and select one or more labels in the Labels drop-down list at the top of your Mail window.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I nest labels like I nested folders in old mail program?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555621893-can-i-nest-labels-like-i-nested-folders-in-old-mail-program-,"Yes you can create nested or subfolders under other folders. For more details see Create a label
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,Does deleting a label delete any messages that have that label?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555631393-does-deleting-a-label-delete-any-messages-that-have-that-label-,No. All it does is remove the label from the messages.,,
Computing and Communications Services,Google Workspace,Google Mail ,"I want to move my messages from my ""Sent Mail"" to another label in the web interface, but when I click ""Move to Inbox"" the message is still showing in ""Sent Mail."" Is it possible to do this using the web interface?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555637872-i-want-to-move-my-messages-from-my--sent-mail--to-another-label-in-the-web-interface--but-when-i-click--move-to-inbox--the-message-is-still-showing-in--sent-mail---is-it-possible-to-do-this-using-the-web-interface-,"At this time, this is not possible in the web interface. One possible solution is to set up your account with a desktop email client such as Microsoft Outlook or Thunderbird, and move your messages around within it. You can find more information about setting up Outlook and Thunderbird at https://www.torontomu.ca/google/usingapps/viaemailclient.html.",,
Computing and Communications Services,Google Workspace,Google Mail ,When should I delete a message vs. archiving it?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555772081-when-should-i-delete-a-message-vs--archiving-it-,"Deleting or archiving a message removes it from your inbox. If you delete a message, it's placed in the Trash and then permanently removed from your Google Apps account after 30 days. If you archive a message, it's moved to All Mail (your archive), where you can easily find it in the future, using Google's powerful search feature. Since you have plenty of space (unlimited) for storing all your mail, we recommend that you archive messages rather than permanently deleting them.",,
Computing and Communications Services,Google Workspace,Google Mail ,How long do messages stay in my archive?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555817991-how-long-do-messages-stay-in-my-archive-,"Messages remain in your archive forever, unless you choose to delete them.",,
Computing and Communications Services,Google Workspace,Google Mail ,How long do messages stay in the Trash?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555827294-how-long-do-messages-stay-in-the-trash-,"Messages remain in the Trash for 30 days. After that, Gmail permanently deletes them.",,
Computing and Communications Services,Google Workspace,Google Mail ,How do I move a message out of the Trash?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555842151-how-do-i-move-a-message-out-of-the-trash-,"Find the message in the Trash and select it. Then, in the Move to drop-down list at the top of the Mail window, select Inbox.",,
Computing and Communications Services,Google Workspace,Google Mail ,Why does a message I archived or deleted show up again in my Inbox?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555848640-why-does-a-message-i-archived-or-deleted-show-up-again-in-my-inbox-,"If someone replies to a message you archived or trashed, that message reappears in your Inbox as a conversation, bringing the message you archived or deleted, with it. If the message has already been permanently deleted from the Trash, you'll see an option at the bottom of the message to view the deleted messages in the conversation.",,
Computing and Communications Services,Google Workspace,Google Mail ,Should I delete or archive message in my Sent folder?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555856285-should-i-delete-or-archive-message-in-my-sent-folder-,"There's no need to delete or archive messages in the Sent folder. Messages remain in this folder forever, unless you delete them. But, because you have unlimited combined storage space, you can keep messages in this folder to refer to them later, if needed. Also, note that messages in the Sent folder are actually archived in All Mail, so even if you archive these messages, they stay in the Sent folder.",,
Computing and Communications Services,Google Workspace,Google Mail ,"Why deleting a message on my Apple device, still keeps it in my All Mail folder? How to use iOS Delete Settings with Google Sync?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555862244-why-deleting-a-message-on-my-apple-device--still-keeps-it-in-my-all-mail-folder--how-to-use-ios-delete-settings-with-google-sync-,"When you ""delete"" a message from your Apple mobile device, by default, it will archive the message but NOT put it in the Trash as you might expect. Please see Advanced Option: How to use iOS Delete Settings with Google Sync for more information.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I share my email with another employee?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555896437-can-i-share-my-email-with-another-employee-,"Shared mailboxes aren't supported. However, you can easily set up an email filter (rule) to forward specific types of messages to another employee.",,
Computing and Communications Services,Google Workspace,Google Mail ,Does Gmail have keyboard shortcuts?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555919483-does-gmail-have-keyboard-shortcuts-,"Yes, Gmail includes a full set of keyboard shortcuts. First, you must enable keyboard shortcuts:

In the upper-right corner of the Mail window, click Settings.
Under Keyboard shortcuts, select Keyboard shortcuts on.
Click Save Settings.Then, to see the shortcuts, press SHIFT+? while viewing your list of messages in the main Mail window.",,
Computing and Communications Services,Google Workspace,Google Mail ,Does Gmail support shared mailboxes?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555927801-does-gmail-support-shared-mailboxes-,"Not exactly. But as a workaround, you can create your own mailing list (called a ""group"") for all the employees who want to share an email address. This requires that your administrator has enabled User-Managed groups for your domain. If user-managed groups aren't available, then you should ask your Google Apps administrator to set up a mailing list (group) for all the employees who want to share an email address.Or if email delegation is enabled for your domain, you can use that to allow up to 10 other users access a single email account.",,
Computing and Communications Services,Google Workspace,Google Mail ,"Does Gmail have a ""tasks"" feature that lets me add messages to a list for follow-up?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555931851-does-gmail-have-a--tasks--feature-that-lets-me-add-messages-to-a-list-for-follow-up-,"Yes, the Google Task is available in Gmail and Calendar. For details, see Using the Tasks
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,How long do messages remain in my Spam folder?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495556089636-how-long-do-messages-remain-in-my-spam-folder-,"Messages remain in the Spam folder for 30 days. After that, Gmail permanently deletes them.",,
Computing and Communications Services,Google Workspace,Google Mail ,How do I prevent messages from specific senders from being tagged as spam?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495556096811-how-do-i-prevent-messages-from-specific-senders-from-being-tagged-as-spam-,"The Gmail ""Spam"" category is a mandatory part of all Gmail mailboxes.  It cannot be disabled and should be periodically checked for misfiled (non-spam) messages.

There are three pro-active things you can do to reduce the likelihood specific messages will be erroneously considered ""Spam"" :

Mark the message as �not spam�, check the box beside the message and click the Not Spam button above the message.  Future messages that are similar will have a lower chance of being falsely flagged.
Add legitimate senders to your Google Contacts (hover over the sender and select ""Add to contacts"").  Email addresses contained in your contacts have a lower chance of going to ""Spam"".
Create a filter for messages from this user using the Never send it to Spam option:
Select the spam message.
From the upper-right, select More.
Select ""Filter messages like these"".
Verify the ""From"" in the next window contains the appropriate sender address.
Select ""Create filter with this search"".
Put a check-mark in ""Never send it to spam"".
Click ""create filter""",,
,Google Workspace,Google Drive,Can I really work on a document the same time as someone else?,https://www.torontomu.ca/google/Archive/faq/faq_drive/#accordion-content-1495634039931-can-i-really-work-on-a-document-the-same-time-as-someone-else-,"Absolutely! You can share any type of document created in Google Drive with your colleagues. Then all you can collaborate on it in real-time, each person making their own edits. You not only see other people's changes as they happen, but you can tell who's doing what! Learn more about sharing and collaboration
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Drive,What types of documents can I create in Google Drive?,https://www.torontomu.ca/google/Archive/faq/faq_drive/#accordion-content-1495634039235-what-types-of-documents-can-i-create-in-google-drive-,"You can create documents, spreadsheets, presentations, drawings, and forms.",,
Computing and Communications Services,Google Workspace,Google Drive,When does Google delete the old file revisions from my Drive?,https://www.torontomu.ca/google/Archive/faq/faq_drive/#accordion-content-1497022525843-when-does-google-delete-the-old-file-revisions-from-my-drive-,"For files other than Google formats (document, presentation, spreadsheet, form and drawing), Google will automatically delete old versions after 30 days or 100 revisions, unless one choose not to automatically delete them. Follow the procedure shown below:
How to disable automatic deletion of file versions

Select a (non Google format) file in Google Drive on the web.
Expand the More dropdown menu and select ""Manage revisions.""
Note: the Google format files do not show this option
Make sure the box in the ""Do not auto delete"" column next to revisions you want not deleted automatically is checked. If not, please checkmark it.
For Google Format files, the revisions may be pruned. The pruning process is more likely occur to spreadsheet: https://support.google.com/docs/answer/95902?hl=en..",,
Computing and Communications Services,Google Workspace,Google Drive,Why Google Docs and Sheets add-ons are not available?,https://www.torontomu.ca/google/Archive/faq/faq_drive/#accordion-content-1495634037988-why-google-docs-and-sheets-add-ons-are-not-available-,"Google has launched a new menu of services called �Add-ons for Docs and Sheets�. Add-ons are applications created by third-parties (non-Google and non-TMU) and have the ability to interact with your Google Apps for Edu account (your TMU Gmail, calendar and Google drive, and other Google Apps for Edu services).

Individuals cannot turn on the ability to install these services. They must either be enabled for everyone by TMU or for no one. Working with the Privacy and Security officers, CCS has been investigating whether these services should be enabled at TMU.
Each add-on requires the person who used it to agree to permissions such as granting the third party the ability to view and manage your email or send email on your behalf.

The third parties also have separate terms of service from TMU�s contract with Google. This means that these applications are not covered by our agreement with Google, which raises privacy, security, legal and records management concerns.  

It also means that the privacy and security requirements we have established for the core Google Apps for Edu services may not be met by these third-party applications.

For example, while testing, we discovered that some of these applications do not support TMU�s expectation of �privacy as a default setting,� one of the seven principles of Privacy by Design.

As a result of all of these risk factors, we have decided not to enable the ability to install add-ons in Google Apps for Edu at TMU.

Please note that by design from Google, TMU users will always see the �Add-ons� menu while in a Google doc or spreadsheet and while users can browse these add-ons, they will not be able to install and use them since TMU�s Google Apps Administrators in CCS have not enabled this service for TMU.",,
Computing and Communications Services,Google Workspace,Google Drive,Can I import files such as Microsoft Office documents into Google Drive?,https://www.torontomu.ca/google/Archive/faq/faq_drive/#accordion-content-1497022400212-can-i-import-files-such-as-microsoft-office-documents-into-google-drive-,"Yes, you can import the following types of documents into Google Drive:Microsoft Word (.doc, .docx)
Microsoft Excel (.xls, .xlsx)
Microsoft PowerPoint (.ppt, .pps, .pptx)
Rich Text (.rft)
Plain text (.txt)
HTML (.html)
PDF (.pdf)
Adobe Illustrator and Photoshop (.ai, .psd)
Autodesk AutoCad (.dxf)
Apple Pages (.PAGES)
Scalable Vector Graphics (.SVG)
PostScript (.EPS, .PS)
TrueType (.TTF)
XML Paper Specification (.XPS)
Comma-separated values (.csv)
Tab-separated values (.tsv)
OpenDocument Text (.odt)
OpenDocument Spreadsheet (.ods)
StarOffice (.sxw)",,
Computing and Communications Services,Google Workspace,Google Drive,Can I share documents I create in Google Drive with people outside of my domain?,https://www.torontomu.ca/google/Archive/faq/faq_drive/#accordion-content-1497022466183-can-i-share-documents-i-create-in-google-drive-with-people-outside-of-my-domain-,"Sure, as long as this option has been enabled by your Google Apps administrator. If it is, you can share any of your documents with customers, suppliers, and others outside of your domain.",,
Computing and Communications Services,Google Workspace,Google Drive,"Why do I get ""Request Access"" emails from students I have already shared my form with? How to resolve this?",https://www.torontomu.ca/google/Archive/faq/faq_drive/#accordion-content-1497022467670-why-do-i-get--request-access--emails-from-students-i-have-already-shared-my-form-with--how-to-resolve-this-,"When a user accesses a live form that requires TMU sign-in:

If the user has logged in to his/her TMU google account, the user will be able to view the live form.
If the user did not log in to any google accounts at all, the user will be prompted to log on to ryerson.ca domain to gain access, hence the Central Authentication System (CAS) login screen.
If the user has logged in to any google accounts other than TMU google account, she will be prompted with


By clicking Request access, the user is essentially requesting access to the raw form as collaborator. If the original form creator grants the request, she essentially shares the view rights to the raw form (including the spreadsheet behind the form), which should not happen.

Possible Solution:
Ask your students to log out of any personal non-TMU Gmail account. If their TMU mail is forwarded to a personal Gmail Account, they will have to copy the link to the form and paste it to a note/document/text file, then log out of their personal Gmail before that link will work.
Login to my.torontomu.ca and open a new browser tab or window, then paste the link copied in step 1. This will ensure that the student is logged in to CAS before accessing the link to the form you wanted to share.",,
Computing and Communications Services,Google Workspace,General,How do I sign in to Google Apps?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495548770498-how-do-i-sign-in-to-google-apps-,"Go to: my.torontomu.ca in any web browser.
Click Log into my.torontomu
You will be prompted by TMU's Central Authentication Service (CAS) to log in with your TMU credentials. Log in with your user name and password.
Once logged in, select Applications tab and chose which Google Apps you wish to use
If you chose not to opt-in to use Gmail (students and faculty only), you will still log onto this service the same way explained above to access your apps, but you will not see Gmail.",,
Computing and Communications Services,Google Workspace,General,How do I add a profile photo to my TMU Gmail account?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495549336604-how-do-i-add-a-profile-photo-to-my-tmu-gmail-account-,"To upload an image for your Gmail account:

Click the gear in the top Gmail navigation bar.
Select Mail settings.
Make sure you're on the General tab.
Click Select a picture under My picture.
To use an image from your computer:
Make sure My Computer is selected on the left.
Use the Browse... or Choose file... button to select the desired image.",,
Computing and Communications Services,Google Workspace,General,Can I use Google Chrome offline?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495549348600-can-i-use-google-chrome-offline-,"No. Unfortunately Chrome Web Store is a consumer service and subject to the consumer version of its terms of service. Consequently, TMU does not have offline access to this service",,
Computing and Communications Services,Google Workspace,General,Can I open my email or calendar in new tab (not a new window)?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495549301417-can-i-open-my-email-or-calendar-in-new-tab--not-a-new-window--,"If you use the Chrome browser, links will open in new tabs by default. If you're using another browser, you can change the browser settings to open new tabs instead of new windows. In Internet Explorer, for example, go to Tools >Internet Options>Tabs>Settings, and click Let Internet Explorer choose how to open pop-ups.",,
Computing and Communications Services,Google Workspace,General,"What is my password for Google apps if I’m using a web browser such as Chrome, Internet Explorer, Firefox or Safari to log in?",https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495549130148-what-is-my-password-for-google-apps-if-i-m-using-a-web-browser-such-as-chrome--internet-explorer--firefox-or-safari-to-log-in-,You you will log in to Google Apps at Toronto Metropolitan University through my.torontomu.ca using your my.torontomu users Id ans password. The only time you will have to set up a different password is if you choose to access your email account using a desktop client (IMAP or POP) or through your mobile device.,,
Computing and Communications Services,Google Workspace,General,"Why the ""Authentication Required"" page shows up on third party sites that have absolutely no TMU related content?",https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1497016886924-why-the--authentication-required--page-shows-up-on-third-party-sites-that-have-absolutely-no-tmu-related-content-,"TMU uses Central Authentication Service (CAS) as our single sign on (SSO) solution. It�s used to access my.torontomu portal, Google Apps for TMU and many other web applications.  For security reasons and to help mitigate phishing attacks, it is important that users are able to view the URL of the CAS login page in the browser address bar. Hence, we do not allow CAS login page to be embedded in other web pages, for example, via an inline frame (iframe). And we have mechanism in place to break out of embedded pages such as iframes.  In such cases, you will get  ""Authentication Required"" CAS page.Sites often embed Google technologies in them, such as Google Calendar, Google Forms and Google Maps etc. Some of these want to retrieve your Google data (your avatar, gmail address etc), so Google tries to authenticate you. Depends on your Google authentication session, if it has timed out, you will be redirected to Google login page. If you’ve used Google Apps for TMU, you will be redirected to CAS login page. As these all happened in the embedded iframe, CAS breaks out of the frame and present you with the ""Authentication Required"" page.",,
Computing and Communications Services,Google Workspace,General,"I have gone to my.torontomu.ca and logged in. When I click the ""Manage My Resources..."" I do not have the option to Change my Google Token. What should I do?",https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495548980725-i-have-gone-to-my-torontomu-ca-and-logged-in--when-i-click-the--manage-my-resources-----i-do-not-have-the-option-to-change-my-google-token--what-should-i-do-,Your Google Token will be available after your account has been created in Google. Please check back on October 9.,,
Computing and Communications Services,Google Workspace,General,What other schools in Canada have migrated to Google Apps For Education?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1497018135374-what-other-schools-in-canada-have-migrated-to-google-apps-for-education-,"There are several Canadian universities who have already made the transition to adopt Google Apps For Education:University of Alberta
Wilfred Laurier
Lakehead
OCAD",,
Computing and Communications Services,Google Workspace,General,When did we migrate to Google Apps for Education at TMU?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1497018131414-when-did-we-migrate-to-google-apps-for-education-at-tmu-,"TMU has gone live with Google Apps since October 9, 2012. Google Apps became available from Friday October 5th. To use Google Apps log into the My.TMU portal
(opens in new window)
and select the Apps tab.",,
Computing and Communications Services,Google Workspace,General,Was all of my email migrated?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1497018134072-was-all-of-my-email-migrated-,"Yes, with the following exceptions that have been outlined in more detail in our Pre-Migration section.",,
Computing and Communications Services,Google Workspace,General,Are all of my contacts migrated to the new Gmail?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1497018134894-are-all-of-my-contacts-migrated-to-the-new-gmail-,"Yes. Multiple address books, your personal contacts and groups will all be migrated and available in Google under ""My Contacts.""",,
Computing and Communications Services,Google Workspace,General,When everyone is moved to Google apps will my calendar be public to TMU employees and students?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1497019863360-when-everyone-is-moved-to-google-apps-will-my-calendar-be-public-to-tmu-employees-and-students-,"By default calendars are set to private with one exception: All employee calendars (including faculty, staff, and academic assistants) are set so they can look up each other's free/busy status when booking a meeting.Students cannot see employee's free/busy status unless the employee allows them to. You can also remove sharing of your free/busy status or share your calendar with people if you like.",,
Computing and Communications Services,Google Workspace,General,Which web browsers can I use with Google Apps?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495550032329-which-web-browsers-can-i-use-with-google-apps-,"Google Apps supports the following browsers:Google Chrome
Internet Explorer 9+
Mozilla Firefox 2.0+
Apple Safari 3.0",,
Computing and Communications Services,Google Workspace,General,What languages does Google Apps support?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495550057355-what-languages-does-google-apps-support-,"The interface for Gmail and Google Calendar are available in over 50 languages. For a list of the available languages and instructions on how to set a different language, see the Gmail Help Center
(external link)
.",,
Computing and Communications Services,Google Workspace,General,Are there any other system requirements?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495550045416-are-there-any-other-system-requirements-,"No. Because Google Apps runs in a web browser, you just need to use a supported browser.",,
Computing and Communications Services,Google Workspace,Google Calendar,Does google calendar has event remiders?,https://www.torontomu.ca/google/getting-started/google-calendar/#!accordion-1499279195887-does-google-calendar-have-event-reminders-,Google Calendar displays a pop-up reminder 10 minutes before an event. You change the reminder time by editing the settings for your calendar.,,
Computing and Communications Services,Google Workspace,Google Calendar,How do I manage notifications for a shared calendar?,https://www.torontomu.ca/google/getting-started/google-calendar/#!accordion-1499280243553-how-do-i-manage-notifications-for-a-shared-calendar-,"You can set up notifications for a shared calendar. However, by default, notifications are turned off. Here's how to turn them on:

Access Google Calendar.
In the upper-right corner of the page, click Settings and Settings from the drop down menu.
Under Settings for my calendars on the left side of the page, select the calendar�s name.
Below the calendar�s name, click Event notifications.
Choose the settings you want and they will be saved automatically.
In the upper-left corner of the page, click the back arrow to exit.",,
Computing and Communications Services,Google Workspace,Google Calendar,How do I hide calendar?,https://www.torontomu.ca/google/getting-started/google-calendar/#!accordion-1499280250353-how-do-i-hide-a-calendar-,You can hide the calendar by clicking it in your list of calendars on the left side of your calendar view.,,
Computing and Communications Services,Google Workspace,Google Groups,How do I request a new Groups list?,https://www.torontomu.ca/google/getting-started/google-groups/#accordion-content-1559240016217-how-do-i-request-a-new-groups-list-,"To request a new Google Groups list please use the online form. Faculty and staff can fill the Mailing List (Google Group) Request Form available at my.torontomu.ca:

Select Courses and Organizations, in the Self Service box. 
Select the Request and Manage Group - Google Groups, RUAD (Active Directory) option. 
Select Request a Group. Once you have completed the form, you must request that your Chair, Dean, Director or Manager send authorization for the list creation to help@torontomu.ca. Once we receive your form request and authorization from the head of your department we will create your new Groups list.",,
Computing and Communications Services,Google Workspace,Google Groups,How do I share a Google calendar with my group?,https://www.torontomu.ca/google/getting-started/google-groups/#accordion-content-1499284000845-how-do-i-share-a-google-calendar-with-my-group-,"Open your Google Calendar. 
Go to Settings > Settings for my calendars and click the calendar you want to share.
Click Share this calendar.
Under Share with specific people click Add people + and enter the email address of the group with which you want to share the calendar into the person field.
In the Permissions drop-down list, select the level of access you want to give the group.
Click Send.",,
Computing and Communications Services,Google Workspace,Google Groups,How do I share a Google document with my group?,https://www.torontomu.ca/google/getting-started/google-groups/#accordion-content-1499284051945-how-do-i-share-a-google-document-with-my-group-,"Create a new document in Google Drive, or open an existing document (Learn more at our Google Drive FAQs).
In the document, click Share.
In the Add people and Groups field, enter your group's address.
Select the level of access you want to provide the group: Editor, Commentor or Viewer.
Click Send.",,
Computing and Communications Services,Google Workspace,Google Groups,How do I invite groups to calendar events/meetings?,https://www.torontomu.ca/google/getting-started/google-groups/#accordion-content-1499284011972-how-do-i-invite-groups-to-calendar-events-meetings-,"When group membership is hidden:
In this case, when adding the group to the invite, it will NOT expand to all the individual names and just display the name of the group. You will receive an error message stating that you cannot see members of the group: Group members are hidden.

When group membership is visible:
When adding the group to the invite, it will expand to all the individual names.
You will receive RSVPs and the event will automatically be added to the recipients' calendars (indicating that they have not yet responded to the RSVP).",,
Computing and Communications Services,Google Workspace,Google Groups,Do calendar events update to reflect changing group membership?,https://www.torontomu.ca/google/getting-started/google-groups/#accordion-content-1499284041112-do-calendar-events-update-to-reflect-changing-group-membership-,"The event�s guest list WILL keep up with changes to the group�s members: the event will appear for new members of the group and will be removed from the calendar of people that leave the group (unless they are invited directly or as a member of a different group).
Group changes are only updated for future events (events that haven�t happened yet), including future instances of recurring events.
If you click the Expand group link, the group expands into a list of guests who can be individually removed. However, group membership information is lost, and the event will no longer keep up with subsequent changes.",,
Computing and Communications Services,Google Workspace,Google Groups,What is the difference using Gmail Contacts or Groups lists?,https://www.torontomu.ca/google/getting-started/google-groups/#accordion-content-1615561393605-what-is-the-difference-using-gmail-contacts-or-groups-lists-,"Here are the differences.

Personal Contact Groups/Labels
Only group owner can use
Created through Google Contacts
Managed through Contacts
Can share docs and sites with group, share calendars and invite personal to events. However if you change contacts in the group/label, those changes will not apply to existing events, shares
Recipients see email in inbox only
Google Groups Email List
Group managers, members, and/or TMU community can use the list (or you can limit that so only members or some members can email that group)
Has to be requested (cannot create yourself)
Managed through Google Groups
Can share with a Group through Google Drive, Google Sites, Calendar, and add to events AND if you change group membership by adding or removing members, those changes do apply to existing events, and shares
(for example, if you remove people from the group, they will no longer have access to shared Drive content or be included in events shared/invited through the Google Group)
Recipients can see emails both in their inbox and on the web through the online Google Groups forum",,
